"yearID","playerID","votedBy","inducted","votes","percent_votes"
1970,"Lou Boudreau","BBWAA","N",232,77.3
1969,"Roy Campanella","BBWAA","N",270,79.4
1969,"Stan Musial","BBWAA","N",317,93.2
1968,"Joe Medwick","BBWAA","N",240,84.8
1967,"Red Ruffing","Run Off","N",266,86.9
1966,"Ted Williams","BBWAA","N",282,93.4
1964,"Luke Appling","Run Off","N",189,94
1962,"Bob Feller","BBWAA","N",150,93.8
1962,"Jackie Robinson","BBWAA","N",124,77.5
1956,"Joe Cronin","BBWAA","N",152,78.8
1956,"Hank Greenberg","BBWAA","N",164,85
1955,"Joe DiMaggio","BBWAA","N",223,88.8
1955,"Gabby Hartnett","BBWAA","N",195,77.7
1955,"Ted Lyons","BBWAA","N",217,86.5
1955,"Dazzy Vance","BBWAA","N",205,81.7
1954,"Bill Dickey","BBWAA","N",202,80.2
1954,"Rabbit Maranville","BBWAA","N",209,82.9
1954,"Bill Terry","BBWAA","N",195,77.4
1953,"Dizzy Dean","BBWAA","N",209,79.2
1953,"Al Simmons","BBWAA","N",199,75.4
1952,"Harry Heilmann","BBWAA","N",203,86.8
1952,"Paul Waner","BBWAA","N",195,83.3
1951,"Jimmie Foxx","BBWAA","N",179,79.2
1951,"Mel Ott","BBWAA","N",197,87.2
1949,"Charlie Gehringer","Run Off","N",159,85
1948,"Herb Pennock","BBWAA","N",94,77.7
1948,"Pie Traynor","BBWAA","N",93,76.9
1947,"Mickey Cochrane","BBWAA","N",128,79.5
1947,"Frankie Frisch","BBWAA","N",136,84.5
1947,"Lefty Grove","BBWAA","N",123,76.4
1947,"Carl Hubbell","BBWAA","N",140,87
1942,"Rogers Hornsby","BBWAA","N",182,78.1
1939,"Eddie Collins","BBWAA","N",213,77.7
1939,"Willie Keeler","BBWAA","N",207,75.5
1939,"George Sisler","BBWAA","N",235,85.8
1938,"Grover Alexander","BBWAA","N",212,80.9
1937,"Nap Lajoie","BBWAA","N",168,83.6
1937,"Tris Speaker","BBWAA","N",165,82.1
1937,"Cy Young","BBWAA","N",153,76.1
1936,"Ty Cobb","BBWAA","N",222,98.2
1936,"Walter Johnson","BBWAA","N",189,83.6
1936,"Christy Mathewson","BBWAA","N",205,90.7
1936,"Babe Ruth","BBWAA","N",215,95.1
1936,"Honus Wagner","BBWAA","N",215,95.1
